n_obs,sigma_true,replications,scenario_id,maturity_days,fraction_fixed,moneyness,mean_posterior_sigma,mean_posterior_sigma_sd,mean_pi_minus_pm,mean_abs_pi_minus_pm,median_abs_pi_minus_pm,p95_abs_pi_minus_pm,p99_abs_pi_minus_pm,max_abs_pi_minus_pm,mean_taylor_gap,taylor_mae,taylor_rmse,taylor_corr,taylor_slope_through_origin
126,0.1,5000,64,63,0.7272727272727273,0.75,0.10004541064070593,0.00634530328978281,-4.084199645149056e-15,1.0298606412106892e-14,7.105427357601002e-15,2.4868995751603507e-14,3.197442310920451e-14,5.684341886080802e-14,0.0,1.0298606412106892e-14,1.2989529679550055e-14,,
126,0.1,5000,65,63,0.7272727272727273,0.9,0.10004541064070593,0.00634530328978281,-2.098232698699576e-15,5.03277419738879e-15,3.552713678800501e-15,1.2434497875801753e-14,1.5987211554602254e-14,2.4868995751603507e-14,0.0,5.03277419738879e-15,6.322333241131059e-15,,
126,0.1,5000,66,63,0.7272727272727273,1.0,0.10004541064070593,0.00634530328978281,-2.9934718448122456e-07,2.9934718448122456e-07,2.963962355828631e-07,3.981918590439948e-07,4.423090058963686e-07,5.784727897251152e-07,-2.977886813984234e-07,1.5585030828011826e-09,1.6085889593221729e-09,0.9999933154292614,1.0052653316739693
126,0.1,5000,67,63,0.7272727272727273,1.1,0.10004541064070593,0.00634530328978281,1.036059481971967e-15,1.036059481971967e-15,1.5749291141843295e-17,2.5132806541624017e-15,1.3530697984525902e-14,6.914077278084283e-13,1.6558514877711452e-17,1.0195009670942556e-15,1.3538500792086862e-14,0.9785862046689208,30.88008165147552
126,0.1,5000,68,63,0.7272727272727273,1.25,0.10004541064070593,0.00634530328978281,2.104316693140043e-35,2.104316693140043e-35,9.593090598261186e-41,9.347831494189335e-37,2.2502810770256644e-35,5.142733410064937e-32,1.4573420618181317e-56,2.104316693140043e-35,8.389113078004144e-34,0.9337159311816472,8.836402182341236e+20
126,0.1,5000,69,63,0.7272727272727273,1.5,0.10004541064070593,0.00634530328978281,5.923027462266323e-54,5.923027462266323e-54,5.108404307514272e-61,2.7233855910815073e-56,1.2694314738501473e-54,1.727914397613307e-50,1.9407546310259087e-131,5.923027462266323e-54,2.7055356012230508e-52,0.9073222282780595,1.806753941063125e+77
126,0.1,5000,70,63,0.9090909090909091,0.6,0.10004541064070593,0.00634530328978281,-8.341771717823576e-15,1.993498699448537e-14,1.4210854715202004e-14,4.973799150320701e-14,6.394884621840902e-14,9.237055564881302e-14,0.0,1.993498699448537e-14,2.5199335764589096e-14,,
126,0.1,5000,71,63,0.9090909090909091,0.75,0.10004541064070593,0.00634530328978281,-4.084199645149056e-15,1.0298606412106892e-14,7.105427357601002e-15,2.4868995751603507e-14,3.197442310920451e-14,5.684341886080802e-14,0.0,1.0298606412106892e-14,1.2989529679550055e-14,,
126,0.1,5000,72,63,0.9090909090909091,0.9,0.10004541064070593,0.00634530328978281,-2.085442929455894e-15,4.983746748621343e-15,3.552713678800501e-15,1.2434497875801753e-14,1.5987211554602254e-14,2.3092638912203256e-14,0.0,4.983746748621343e-15,6.299833941147274e-15,,
126,0.1,5000,73,63,0.9090909090909091,1.0,0.10004541064070593,0.00634530328978281,-1.4056507236332728e-07,1.4056507236332728e-07,1.391795655808492e-07,1.869781673588533e-07,2.076933121133995e-07,2.7162805696367975e-07,-1.3983337979779522e-07,7.316925655320519e-10,7.552025064258516e-10,0.9999933148368753,1.0052643033686326
126,0.1,5000,74,63,0.9090909090909091,1.1,0.10004541064070593,0.00634530328978281,3.531278927156156e-34,3.531278927156156e-34,2.6326495773411002e-39,2.0612959031593767e-35,4.566099291994909e-34,8.37777841920885e-31,1.4461297512761059e-52,3.531278927156156e-34,1.3753171803936282e-32,0.9382176403241272,1.5007146942250025e+18
